becom'st		2
become		159
become't		2
becomed		1
becomes		78
becoming		8
becomings		1
bed		395
bed-chamber		4
bed-fellow		3
bed-fellows		1
bed-hangers		1
bed-mate		1
bed-presser		1
bed-rid		1
bed-rite		1
bed-room		1
bed-swerver		1
bed-time		2
bed-vow		1
bed-work		1
bedabbled		1
bedash'd		1
bedaub'd		1
bedazzled		1
bedchamber		13
bedclothes		1
bedded		4
bedeck		1
bedecking		1
bedew		4
bedfellow		16
bedfellows		1
bedford		49
bedford's		1
bedlam		10
bedrench		2
bedrid		2
beds		38
bedtime		3
bedward		2
bee		4
bee's		1
beef		13
beef-witted		2
beefs		1
beehives		2
been		756
been-for		1
beer		8
bees		13
beest		13
beetle		6
beetle-headed		1
beetles		4
beeves		3
befall		34
befall'n		11
befallen		1
befalls		1
befell		3
befits		10
befitted		2
befitting		1
befor't		1
before		951
before's		1
before't		2
before-breach		1
before-time		1
beforehand		1
befortune		1
befriend		5
befriended		3
befriends		2
beg		110
beg'st		1
began		40
began'st		1
began't		2
beget		29
begets		4
begetting		4
begg'd		31
beggar		73
beggar'd		6
beggar's		9
beggar-fear		1
beggar-woman		1
beggared		1
beggarly		11
beggarly-nor		1
beggarman		2
beggars		28
beggars-neither		1
beggary		17
begging		9
begin		149
beginners		2
beginning		19
beginnings		1
begins		61
begnawn		1
begone		4
begot		34
begotten		4
begrimed		1
begs		10
beguil'd		24
beguile		30
beguiled		5
beguiles		5
beguiling		5
begun		43
behalf		68
behalfs		2
behav'd		2
behaved		1
behavedst		2
behavior		2
behaviors		2
behaviour		37
behaviours		8
behead		1
beheaded		9
beheld		41
behest		1
behests		1
behind		165
behind-door-work		2
behind-hand		1
behold		195
behold's		2
behold'st		5
beholder		1
beholders		5
beholdest		2
beholding		32
beholds		2
behoof		4
behooffull		1
behooves		1
behove		4
behoves		3
behowls		1
being		680
being-whereby		1
bel's		1
belarius		93
belch		9
belching		1
beldam		1
beldame		1
beldams		2
belee'd		1
belgia		3
belie		11
belied		10
belief		17
beliest		1
believ'd		19
believ'st		2
believe		267
believe't		9
believed		8
believes		5
believest		1
believing		6
belike		46
bell		53
bell-wether		2
bellario		12
bellario's		1
belle		1
bellies		3
bellman		2
bellona's		1
bellow		1
bellow'd		1
bellowed		2
bellowing		3
bellows		1
bellows-mender		5
bells		18
belly		45
belly's		3
belly-pinched		1
bellyful		3
belman		1
belmont		21
belock'd		1
belong		24
belong'd		2
belonging		5
belongings		2
belongs		23
belov'd		42
beloved		32
beloving		1
below		80
belt		2
belzebub		3
bemadding		1
bemet		2
bemete		1
bemoan'd		1
bemock		1
bemock'd-at		1
bemoil'd		1
bemonster		1
